,label,tweet
39,trust,"['hoax', 'pesan', 'chatt', 'berantai', 'kek', 'ambaikan', 'terima', 'kasih', 'informasinya', 'facebook']"
40,joy,"['bissmillah', 'semoga', 'rejeki', 'anak', 'insya', 'allah', 'soleh', 'amien', 'jawabannya', 'perbedaan', 'gambar', 'logo', 'texas', 'chicken', 'sedotan', 'topping', 'diatas', 'es', 'krim', 'saus', 'mayones', 'kentang', 'goreng', 'piring', 'kanan', 'ikutan', 'sapa', 'jalan', 'rejeki', 'anwar', 'samudra', 'tersisih', 'akhmad', 'munaji', 'sadulloh', 'cepot', 'petakilan', 'muhamad', 'panji', 'irawan']"
41,fear,"['prof', 'username', 'share', 'cerita', 'lengkap', 'foto', 'jepret', 'salat', 'maghrib', 'gereja', 'ayam', 'pniel', 'kemarin', 'biar', 'informasi', 'sepotong', 'sepotong', 'terima kasih', 'prof']"
42,sadness,"['ikutan', 'panitia', 'pemilu', 'gimana', 'duitnya', 'lol', 'deng', 'hmm', 'merasakan', 'gimana', 'panitia', 'pemilu', 'kabar', 'kecurangan', 'kotak', 'suara', 'sungguhlah', 'manusia']"
43,joy,"['nasib', 'prabowo', 'jelek', 'juragan', 'skarang', 'presiden', 'ksampaian', 'sakitnya', 'tuh']"
44,joy,"['kunci', 'kemajuan', 'madura', 'versi', 'emil', 'elestianto', 'dardak', 'jagung', 'ulama', 'kawal', 'investasi']"
45,anger,"['maaf', 'facebook', 'maksutnya', 'meninjau', 'laporan', 'ditinjau', 'melaporkan', 'grup', 'dimana', 'grup', 'mengancam', 'kesrluruhan', 'isi', 'grup', 'ungkapan', 'kekerasan', 'penghinaan', 'agama', 'ancaman', 'unsur', 'sexs', 'respown', 'trimakasih']"
46,sadness,"['drhandri', 'maspiyu', 'prabowo', 'sbyudhoyono', 'pesimis', 'berharap', 'partai', 'abu']"
47,fear,"['mengganti', 'foto', 'sampul', 'fans', 'page']"
48,anger,"['sales', 'bni', 'life', 'jujur', 'komplain', 'sop', 'perekrutan', 'nasabah', 'bni', 'life']"
49,surprise,"['jam', 'malam']"
50,joy,"['mari', 'menanam', 'kebaikan', 'tanam', 'pohon', 'menjaga', 'lingkungan', 'penanaman', 'pohon', 'desa', 'daya', 'makmur', 'muara', 'padang', 'banyuasin', 'senin']"
51,sadness,"['khatam', 'sifatnya', 'tololnya', 'feeling', 'use', 'but', 'still', 'missing', 'and', 'can', 'see', 'the', 'end', 'of', 'this', 'pkknya', 'sotoi', 'orgnya', 'ceritanya', 'rubah', 'pandang', 'peduli', 'perhatiin', 'but']"
52,fear,"['allah', 'semoga', 'manusia', 'super', 'hero', 'dpr']"
53,joy,"['fadlizon', 'selamat', 'prabowo', 'gagal', 'cawapres', 'gagal', 'capres', 'presiden', 'twitter', 'selamat']"
54,trust,"['kelas', 'nulis', 'memahami', 'ndengerin', 'jari', 'pikiran', 'layar', 'hp', 'bolak', 'bu']"
55,anger,"['balas', 'email']"
56,joy,"['nonton', 'acara', 'interview', 'tvone', 'acara', 'kabar', 'petang', 'pkl', 'temanya', 'pandangan', 'sby', 'berbaga']"
57,sadness,"['mayjensudrajat', 'gerindra', 'barusan', 'longsor', 'menenangkan', 'pendukung', 'partai']"
58,fear,"['gerindra', 'dosa', 'takut', 'tertawa']"
59,anticipation,['tggal']
60,sadness,"['kelaparan', 'stasiun', 'beli', 'paket', 'es', 'teh', 'roti', 'duduk', 'nyruput', 'es', 'teh', 'sebelah', 'sholat', 'syaitonirojim']"
61,sadness,"['aplikasi', 'facebook', 'berat']"
62,anger,"['orde', 'kayak', 'mimpi', 'buruk']"
63,joy,"['aktris', 'black', 'panther', 'curi', 'perhatian', 'ryan', 'coogler', 'berencana', 'buatkan', 'spin', 'off']"
64,fear,"['merasakan', 'deg', 'degan', 'nerima', 'sms', 'pemberitahuan', 'kuota', 'tinggal', 'mb', 'asik', 'asiknya', 'tlponan', 'cari', 'kuota', 'bicara']"
65,disgust,"['myxlcare', 'layanan', 'dangdut', 'plus', 'pakai', 'dimatik', 'ck']"
66,anger,"['emosi', 'mentionan', 'sheungwanie']"
67,anger,"['kaya', 'terkenal', 'makan', 'warung', 'digratisin', 'miskin', 'disuruh', 'bayar', 'gimana', 'kaya', 'kaya', 'miskin', 'miskin', '_']"
68,anticipation,"['politisasi', 'may', 'day', 'nasdem', 'peralat', 'kaum', 'pekerja']"
69,trust,"['gerindra', 'suara', 'masyarakat', 'menempatkan', 'prabowo', 'posisi', 'cawapres', 'pemimpin']"
70,sadness,['mahal']
71,disgust,"['pemerintah', 'jawa', 'tengah', 'diam', 'daerah', 'pemerintahan', 'menyempatkan', 'waktu', 'mendukung', 'pesertanya', 'mengharumkan', 'nama', 'daerahnya', 'jawa', 'tengah', 'solo', 'gorontalo', 'dukung', 'nisa', 'solo', 'perwakilan', 'diam']"
72,trust,"['optimis', 'mengalahkan', 'pesemis', 'qoidah', 'kaya', 'al', 'yaqinu', 'layuzalu', 'bisyaq']"
73,anticipation,"['facebook', 'suami', 'dibuka', 'lupa', 'pasword', 'email', 'diakses', 'verivikasi', 'email', 'pulihkan', 'terimakasih']"
74,joy,"['debat', 'ciamik', 'kang', 'ridwankamil']"
75,joy,"['selamat', 'lahir', 'gp_ansornu', 'semoga', 'terdepan', 'mengawal', 'negeri']"
76,anger,"['username', 'username', 'ribut', 'islam', 'nusantara', 'indonesia', 'dikenal', 'ramah', 'dunia', 'istilah', 'zmn', 'now', 'ngerti', 'wlupun', 'kenyataannya', 'suka', 'berlku', 'adil', 'mnritas', 'neg', 'sadar']"
77,sadness,"['tolong', 'respon', 'keluhan', 'berulang', 'kirim', 'laporan', 'permasalahan', 'ko', 'respon', 'siaran', 'lantaran', 'block', 'menyebalkan', 'nge', 'vlog', 'moment', 'seru', 'share', 'posting', 'tolong', 'secepatnya', 'respon', 'keluhan', 'ku']"
78,anticipation,"['jenis', 'kulit', 'wajahmu', 'mudah', 'kering', 'tenang', 'clay', 'mask', 'berfungsi', 'menghidrasi', 'kulitmu', 'simak', 'rekomendasinya']"
79,trust,"['update', 'koleksi', 'terbaru', 'second', 'tampil', 'stylish', 'shirt']"
80,trust,"['nyinyir', 'insyaallah', 'termotivasi', 'unuk', 'allah', 'pertolongan', 'allah', 'mengalahkan', 'contoh', 'pilkada', 'dki']"
81,anger,"['pelit', 'ayam']"
82,sadness,"['percaya', 'lelaki', 'mati', 'disiksa', 'zaman', 'kematian', 'kunjung', 'melupakannya', 'tuhan', 'menjauh', 'menjauhinya', 'iya', 'kulupa']"
83,joy,"['rommy_daily', 'mromahurmuziy', 'dpp_p', 'semoga', 'sehat', 'semangsaat', 'gus']"
84,anger,"['username', 'buka', 'rekening', 'mandiri', 'ribet', 'no', 'telepon', 'rumah', 'or', 'kantor', 'pekerja', 'pasar', 'tabung', 'mandiri', 'donk']"
85,sadness,"['pas', 'counter', 'texas', 'mbak', 'jaganya', 'promo', 'beli', 'french', 'fries', 'ribu']"
86,anger,"['prof', 'koruptor', 'membunuh', 'generasi', 'anak', 'cucu', 'perlahan', 'prof', 'setuju', 'koruptor', 'kelas', 'kakap', 'hukum', 'mati', 'miskin']"
87,joy,"['telak', 'pengacara', 'setya', 'novanto', 'beberkan', 'borok', 'kpk']"
88,trust,['susi']
89,trust,"['petinggi', 'elite', 'politik', 'suara', 'memajukan', 'negeri', 'mengesampingkan', 'ego', 'sadar', 'korupsi', 'merugikan', 'negara', 'rakyat']"
90,sadness,"['makan', 'tidur', 'nyenyak', 'kegelisahan', 'tuliskan', 'alhamdulillah', 'username', 'menampung', 'keresahan', 'umat', 'aksi', 'bela', 'via', 'vallen', 'pesan', 'jakmania', 'abang', 'simic']"
91,fear,"['facebook', 'keblokir', 'konfirmasi', 'no', 'telepon', 'flexi', 'laa', 'nmrnya', 'gimana', 'yaa', 'solusinya']"
92,anticipation,"['promo', 'sampek']"
93,fear,"['username', 'menurutmu', 'menurutku', 'menyeramkan', 'ulah', 'monster', 'gerutunya', 'kesal', 'ariel', 'nunduk', 'jalan', 'bebatuan', 'depannya', 'takut', 'un']"
94,sadness,"['btw', 'tumblr', 'blokir', 'indo', 'yak', 'berbulan', 'app', 'kaga', 'buka', 'ngiterr']"
95,sadness,"['hi', 'membalikkn', 'pesan', 'arsip', 'trabaikan', 'karn', 'tdak', 'sngaja', 'trpencet', 'bingung', 'ap', 'dibalik', 'ktika', 'ditulis', 'dipencariannya', 'infonya', 'tolong']"
96,trust,"['mengupayakan', 'perahu', 'lampu', 'lengkap', 'bersubsidi', 'dikredit', 'angsuran', 'jt', 'um', 'dp', 'jt', 'kreditan', 'motor', 'negeri', 'mengarah', 'negeri', 'ojek', 'anak', 'muda', 'sekolah', 'tinggi', 'pilih', 'kredit', 'perahu', 'lampu', 'nelayan', 'kredit', 'motor', 'ngojek']"
97,anger,"['detikcom', 'pendukung', 'prabowo', 'kecewa', 'berharap', 'jokowi', 'lakukan']"
98,fear,"['username', 'wkwkwk', 'laah', 'masi', 'menata', 'hati', 'menata', 'menjombs', 'nyaman', 'jombs', 'dikenalin', 'masnya', 'ku', 'takut', 'pelarian', 'pelarianku', 'masi', 'moveon', 'mantan', 'cowok', 'idamanku', 'pelaria']"
99,anger,"['pesananku', 'dikirim', 'dikemas', 'tanggal', 'sampainya', 'sebentar', 'mudik', 'tolong', 'dicek', 'br', 'blnja', 'kapok', 'donk']"
100,sadness,"['ganjarpranowo', 'enthussusmono', 'innalilahi', 'wainaillaihi', 'roji', 'un', 'semoga', 'khusnul', 'khotimah']"
101,disgust,"['psi_id', 'sadar', 'manusia', 'sejenis', 'grace_nat', 'ketum', 'psi', 'untungkan', 'besarkan', 'era', 'orba', 'psi']"
102,trust,"['wr', 'owaala', 'sbyudhoyono', 'tandingannya']"
103,trust,"['idrus', 'marham', 'setya', 'novanto', 'mangkir', 'saran', 'pengacara']"
104,anger,"['username', 'grapari', 'btc', 'bandung', 'ditulis', 'buka', 'barusan', 'ganti', 'simcard', 'nano', 'sim', 'ditolak', 'alasan', 'prepare', 'tutup', 'profesional', 'username']"
105,anger,"['indopluralitas', 'prabowo', 'gerindra', 'bela', 'kaum', 'buruh', 'tahun', 'bayar', 'gajinya']"
106,trust,"['adv_supyadi', 'advokatbs', 'yusrilihza_mhd', 'habiburokhman', 'jr', 'terkait', 'aturan', 'bpjs']"
107,fear,"['papa', 'dudum', 'diruang', 'tamu', 'menunggumu', 'pulang', 'hati', 'khawatir', 'perasaab', 'khawatir', 'berlarut', 'larut', 'putri', 'kecilnya', 'pulang', 'larut', 'hati', 'papa', 'mengeras', 'papa', 'memarahimu']"
108,anger,"['hafidgaban', 'pdamkotasmg', 'hendrarprihadi', 'ganjarpranowo', 'pmkotasmg', 'hahaha', 'dirugikan', 'pdamkotasmg']"
109,anger,"['username', 'jasa', 'pengiriman', 'profesional', 'pakai', 'jasa', 'pengiriman', 'menanggapi', 'pengaduan', 'awas', 'paket', 'nyasar', 'petugas', 'salah', 'input', 'ilang', 'su', 'viralkan']"
110,joy,"['buang', 'dendam', 'sebarkan', 'maaf', 'ciptakan', 'kawan', 'lawan', 'ubah', 'benci', 'cinta', 'tunjukkan', 'peduli', 'jauhkan', 'kepentingan', 'hidup', 'positif', 'levi']"
111,joy,"['lucu', 'keren', 'maskot', 'golkar', 'partaihanura', 'pksejahtera']"
112,joy,"['kangderu', 'msi_sohibuliman', 'menang', 'jatim', 'pasangan', 'gus', 'ipul', 'puti', 'khofifah', 'emil', 'dardak']"
113,anticipation,"['maaf', 'kirim', 'pesan', 'facebook', 'ijin', 'ditolak']"
114,anger,"['username', 'username', 'good', 'job', 'jadwal', 'kereta', 'arah', 'bogor', 'berantakan', 'jam', 'segini']"
115,trust,"['facebook', 'layanan', 'gratis', 'pengguna', 'facebook', 'mengendalikan', 'informasi', 'akun', 'facebook']"
116,trust,"['yusrilihza_mhd', 'kadang', 'suka', 'membicarakan']"
117,sadness,"['mati', 'lampu', 'dirumah', 'ky', 'kuatan', 'kamar', 'nyalakan', 'saklar', 'wq', 'sumuk', 'aseli', 'liga', 'la', 'familia', 'betah', 'panas', 'turun', 'nyalakan', 'saklar', 'gelapan']"
118,fear,"['takut', 'takut', 'diputusin', 'gimana', 'diselingkuhin', 'gimana', 'diporotin', 'gimana', 'diajak', 'kua', 'gimana', 'gimana', 'gimanaa', 'pokok', 'ketakutan', 'ketakutan']"
119,anger,"['biarin', 'jokowi', 'nafsu', 'periode', 'prabowo', 'nafsu', 'nyapres', 'periode', 'cilik', 'ik']"
120,fear,"['santap', 'sahur', 'menyimak', 'ceramah', 'tv', 'muncul', 'bunyi', 'hati', 'hati', 'yon', 'syiah', 'itt', 'sahur', 'hilang', 'selera']"
121,anger,"['tahun', 'spv', 'tidur', 'pulang', 'subuh', 'paginy', 'tidur', 'pulang', 'berangkat', 'serumah', 'kadang', 'ketemu', 'ngatain', 'posesif', 'ditinggal', 'makan', 'lauk', 'samyang']"
122,joy,"['ruhut', 'sitompul', 'jokowi', 'janji', 'buka', 'juta', 'lapangan', 'tahun', 'ketiga', 'juta', 'fakta']"
123,joy,"['pengacara', 'setya', 'novanto', 'siapkan', 'bukti', 'bongkar', 'borok', 'kpk']"
124,joy,"['prabowo', 'tanggapi', 'serangan', 'bom', 'bunuh', 'gereja', 'surabaya', 'gini']"
125,trust,"['fadlizon', 'rismiatyr', 'gerindra', 'prabowo', 'salah', 'tuh', 'zon', 'tun', 'mahatir', 'menang', 'lawannya', 'najib', 'beraroma', 'korups']"
126,joy,"['persipura_', 'rahmayadiedy', 'pssi', 'buruan', 'gabung', 'bandar', 'judi', 'online', 'aman', 'te']"
127,trust,"['nunggu', 'buka', 'puasa', 'membaca', 'cerita', 'kisah', 'kisah', 'nabi', 'rasul', 'pc']"
128,joy,"['annasuezann', 'hadipra', 'jokowi', 'prabowo', 'move', 'on']"
129,trust,"['fadlizon', 'poros', 'jokowi', 'dikalahkan', 'muncul', 'poros', 'suara', 'bis']"
130,anger,"['kezaman', 'batu']"
131,fear,"['penularan', 'vertikal', 'seram', 'disarankan', 'hamil', 'menjaga', 'bayinya', 'horizontal']"
132,sadness,"['akun', 'hack', 'balikin', 'tolong', 'tolong', 'balikin']"
133,sadness,"['dewasa', 'malas', 'drama', 'pertemanan', 'penuh', 'drama', 'hubungan', 'asmara', 'penuh', 'drama', 'pekerjaanmu', 'drama', 'drama', 'melelahkan', 'boycandra']"
134,anticipation,"['medan', 'berlaku']"
135,sadness,"['kaan', 'mojokerto']"
136,trust,"['berjuang', 'titik', 'darah', 'penghabisan']"
137,joy,['wow']
138,anticipation,"['mesti', 'diusut', 'tuntas', 'mrf_info', 'mustafajajuli', 'herman_sutono', 'srikandilampung', 'mustafajajuli']"
139,anger,"['pemakaian', 'fasilitas', 'laboratorium', 'dikampus', 'bayar', 'uang', 'dibayarkan', 'semster', 'doain', 'buruk']"
140,trust,"['kpu_jateng', 'mewaspadai', 'menang', 'laporan']"
141,anger,"['username', 'otak', 'brengsek', 'dasar', 'bodoh', 'negara', 'maju', 'tol', 'andalan', 'utama', 'negara', 'maju', 'tol', 'negara', 'terkebelakang', 'tol', 'negara', 'terkebelakang', 'tolol']"
142,sadness,"['nga', 'rekomendasi', 'ulama', 'versi', 'username', 'nonton', 'rausah', 'rekomendasi', 'rekomendasian', 'jadwal', 'padat', 'setahun', 'ngundang', 'tahun']"
143,trust,"['tahun', 'buka', 'puasa', 'mal', 'bikin', 'males', 'antrenya', 'penuh', 'sholat', 'maghrib']"
144,joy,"['buah', 'neon', 'mug']"
145,trust,"['potongan', 'pinjaman', 'bank', 'btpn', 'indonesia', 'cari', 'pinjaman', 'beli', 'ruko', 'investasi', 'usaha', 'cari', 'pinjaman', 'menambah', 'modal', 'usaha', 'biaya', 'anak', 'sekolah', 'cari', 'pinjaman', 'syarat', 'mudah', 'proses', 'cepat', 'bunga', 'kompetitif', 'btpn', 'wow', 'solusinya', 'pinjaman', 'pedagang', 'pengusaha', 'karyawan', 'mikro', 'area', 'sluruh', 'indonesia', 'juta', 'jt', 'info', 'add', 'facebook', 'syrat', 'photo', 'ktp', 'photo', 'kakak', 'photo', 'buku', 'rek', 'photo', 'rek', 'listrik', 'proses', 'cepat', 'surve', 'buka', 'tabungan', 'on', 'line', 'wow', 'jenius', 'btpn', 'rp', 'no', 'hp', 'registrasi', 'tabungan', 'btpn', 'nb', 'dipungut', 'biaya', 'apapun', 'btpn', 'wow', 'wow', 'dimana', 'hadir']"
146,anger,"['username', 'username', 'bicara', 'brengsek', 'bicara', 'gini', 'lembaga', 'terhormat', 'terhina', 'disusupi', 'username']"
147,sadness,"['berita', 'hoax']"
148,fear,"['bangun', 'tidur', 'cek', 'handphone', 'pergantian', 'schedule', 'besok', 'tugas', 'terbang', 'china', 'melekk', 'hua', 'takut', 'tugas', 'terbang']"
149,trust,"['kangmeirza', 'aryprasetyo', 'sbyudhoyono', 'dicoba', 'sj', 'diwujudkan', 'daftar', 'calon', 'biar', 'rakyat']"
150,sadness,"['iwanfals', 'jokowi', 'prabowo', 'ramlirizal', 'sbyudhoyono', 'jokowi', 'indonesia', 'plt', 'sekam', 'pad']"
151,sadness,"['yusrilihza_mhd', 'berduka', 'cita', 'teriring', 'do', 'semoga', 'almarhum', 'khilaf', 'dosanya', 'diampuni']"
152,anger,"['mas', 'budiman', 'koran', 'langka', 'suara', 'karya', 'beritanya', 'pahan', 'diancam', 'hukuman', 'mati', 'koran', 'simpan', 'kirim', 'contribusinya', 'mas', 'ukses', 'merdeka']"
153,sadness,"['kadang', 'suka', 'terima', 'liat', 'hidup', 'we', 'teman', 'we', 'mulus', 'balasan', 'dosa', 'we']"
154,joy,"['ganjarpranowo', 'jalan', 'pekanbaru', 'jumpa', 'ma']"
155,anticipation,"['knpaa', 'facebook', 'lite', 'baca', 'komentar', 'komentar', 'muncul', 'dipemberitahuan']"
156,trust,"['rona', 'cerah', 'natural', 'wajah', 'radiance', 'blusher', 'nutrisi', 'bibir', 'lembap', 'essential', 'lip', 'serum', 'stick', 'warna', 'terang', 'radiance', 'blusher', 'highlighter', 'memperoleh', 'tampilan', 'muda']"
157,fear,"['maaf', 'pesanan', 'nama', 'rimhot', 'sijabat', 'minggu', 'kirim', 'email', 'balas', 'telepon', 'pencerahannya', 'ditunggu']"
158,anticipation,"['peringatan', 'perhatian', 'whatsappers', 'mengenakan', 'biaya', 'biaya', 'layanan', 'tahun', 'usd', 'menerima', 'pesan', 'biaya', 'tambahan', 'meneruskan', 'pesan', 'pesan', 'pesan', 'palsu', 'diteruskan', 'informasi', 'biaya', 'whatsapp', 'silahkan', 'baca', 'artikel', 'faq']"
159,anger,"['pelajari', 'akun', 'ig', 'kerap', 'memposting', 'foto', 'seronok', 'wajar', 'mpe', 'vulgar', 'perhatiin', 'seringkali', 'si', 'pemilik', 'akun', 'cuek', 'kalimat', 'jorok', 'muncul', 'justifikasi', 'nglakuin', 'cat', 'calling', 'dunia', 'wajar']"
160,anger,"['username', 'username', 'username', 'username', 'uang', 'konsumsi', 'buka', 'puasa', 'bareng', 'anak', 'yatim', 'dibayarkan', 'katering']"
161,anticipation,[]
162,disgust,"['aterohana', 'rakyat_kerikil', 'rockygerung', 'prabowo', 'maha', 'jokowi', 'pengikutnya']"
163,anger,"['met', 'sore', 'penjabat', 'kfc', 'seleksi', 'karyawan', 'kfc', 'moll', 'kelapa', 'gading', 'memuaskan', 'pelanggan', 'makasih']"
164,trust,"['sekjen', 'demokrat', 'anak', 'muda', 'ahy']"
165,joy,"['kinerja', 'kementerian', 'sosial', 'diartikan', 'khofifah', 'indar', 'parawansa', 'tahun']"
166,fear,"['hidup', 'petualangan', 'penuh', 'misteri', 'manusia', 'memiliki', 'takut', 'was', 'was', 'kuatir', 'menjalaninya', 'yesus', 'ketakutan', 'hilang']"
167,joy,"['sebentar', 'ramadan', 'semoga', 'menyambut', 'keberkahan', 'penuh', 'kemuliaan', 'bekal', 'sehat', 'bekal', 'sabar', 'bekal', 'amal', 'selamat', 'menunaikan', 'ibadah', 'puasa']"
168,sadness,"['daritadi', 'tuh', 'nangis', 'ngeliat', 'foto', 'tae', 'ilangin', 'mulletnya', 'suka', 'mullet', 'sayang', 'bts', 'menerima', 'apapun', 'lakukan', 'kayak', 'gini', 'gbs', 'seselin', 'huhuhu', 'sedih']"
169,fear,"['main', 'artificial', 'neural', 'network', 'ngeri', 'sedap', 'stressfull', 'akurasi', 'pengujian', 'dibawah', 'ubah', 'parameter', 'jelek', 'ngira', 'fail', 'datanya', 'rusak', 'hidden', 'layer']"
170,joy,"['selamat', 'merayakan', 'raya', 'paskah', 'jonan', 'tuhan', 'memberkati', 'pengabdian', 'pelayanan', 'bangsa', 'indonesia', 'semoga', 'sehat', 'berhkmat']"
171,anger,"['username', 'username', 'username', 'username', 'username', 'salah', 'pemimpin', 'kalbar', 'fitnah', 'memprovokasi', 'masyarakat', 'pernyataan', 'menyesatkan', 'penindakan', 'berwenang']"
172,trust,"['valencia_amara', 'cawapresnya', 'jokowi', 'cepat', 'wibawa', 'bertanggung', 'cerdas', 'jujur', 'anti', 'korup', 'btp']"
173,anger,"['gerindra', 'prabowo', 'santai', 'kaya', 'oramg', 'susah', 'duit', 'tinggal', 'ngeprint', 'selesei']"
174,fear,"['dadorose', 'mayjensudrajat', 'gerindra', 'nu', 'kawas', 'setan', 'mah', 'nu', 'ngamuk', 'timbang', 'bicara', 'ganti', 'presiden', 'oge', 'geus', 'kapanasan']"
175,joy,"['ibnasanmail', 'psi_id', 'bawaslu_ri_', 'grace_nat', 'tsamaradki', 'antoniraja', 'tenang', 'pakai', 'gincu']"
176,sadness,"['sengaja', 'menghilang', 'sekedar', 'dicari', 'ketahui', 'hilang', 'dicari', 'diganti']"
177,anger,"['rizqiromdhoni', 'fadlizon', 'dpr_ri', 'gerindra', 'jokowi', 'pernyataan', 'berbahaya', 'partai', 'mendukung', 'tindakan', 'terorisme']"
178,joy,"['kunci', 'kemajuan', 'madura', 'versi', 'emil', 'elestianto', 'dardak', 'jagung', 'ulama', 'kawal', 'investasi']"
179,anger,"['teman', 'beli', 'hp', 'online', 'batam', 'trf', 'dihubungi', 'bea', 'cukai', 'hpnya', 'dibilang', 'bm', 'bayar', 'jam', 'sore', 'dipolisikan', 'eh', 'trf', 'teman', 'modus', 'penipuan', 'barangnya']"
180,joy,"['salut', 'keberanian', 'belio', 'mempertaruhkan', 'jabatannya', 'semoga', 'lahir', 'luther', 'sumba', 'berani', 'membela', 'rakyatnya']"
