,label,tweet
34,anticipation,7 Alasan KENAPA harus PAYTREN\n\nBerikut 7 Alasan Utama kenapa memakai Aplikasi Paytren ?\n\n1. MENU APLIKASI LENGKAP\nM…
35,anger,Jangan biarkan teroris terus mendapatkan ruang untuk merongrong kehidupan masyarakat. Kita harus lawan !
36,trust,Setya Novanto Sempat Minta Pengacara Menemuinya di Rumah
37,disgust,@AdriansyahDgenk @rockygerung Sama aja lah kaya kalian juga kn memuja prabowo haha..
38,trust,jadikan pionir dlm hidup sukses
39,trust,Saya pun sudah tau kalo itu hoax. .setiap ada pesan atau chatt berantai kek gtu selalu saya ambaikan. .\nTerima kasih informasinya facebook
40,joy,"Bissmillah semoga jadi rejeki anak yang insya allah soleh amiennnnnnnnnnnnn, dan Jawabannya  :\nSaya melihat Ada 5 perbedaan di gambar tersebut antara lain...\n1. Logo Texas Chicken\n2. Sedotan\n3. Topping diatas Es krim\n4. Saus dekat mayones\n5. Kentang goreng di piring kanan\n\nIkutan yup sapa tahu jadi jalan rejeki kita \nAnwar Samudra\nTersisih\nAkhmad Munaji Sadulloh\nCepot Petakilan\nMuhamad Panji Irawan"
41,fear,"Prof [USERNAME] mohon kiranya di-share cerita lengkap soal foto ibu yg saya jepret saat salat maghrib di gereja ayam pniel kmrn, biar gak ada informasi yg sepotong-sepotong. Trims Prof"
42,sadness,"Sebenernya gak pengen ikut-ikutan jadi panitia pemilu, tapi gimana yah ada duitnya sih. Lol Gak juga deng! Hmm lebih ke pengen ngerasain gimana jadi panitia pemilu gitu. Dan baru tau kabar soal kecurangan kotak suara itu benar adanya. Sungguhlah manusia2 ini"
43,joy,"Nasib @prabowo yg jelek, dr juragan skarang pengen jd presiden tp ga ksampaian, sakitnya tuh disini....."
44,joy,"Kunci Kemajuan Madura Versi Emil Elestianto Dardak, Mulai Jagung Hingga Ulama Kawal Investasi #EmilDardakAja"
45,anger,"Halo,maaf saya mau bertanya\nKnp sekarang fb nya kok tidak seperti sebelum Nya? \nMaksutnya meninjau laporan nya sangat lama dan hampir tidak ditinjau sama sekali\nSaya tadi melaporkan sebuah grup dimana grup itu sangat mengancam dan kesrluruhan isi grup itu adalah ungkapan kekerasan,penghinaan agama, ancaman, unsur sexs,dll.\nMohon respown nya\nTrimakasih"
46,sadness,@drhandri @maspiyuuu @prabowo @SBYudhoyono Pesimis berharap ama Partai Abu2.
47,fear,2 hari belakangan ini kenapa tidak bisa mengganti foto sampul fans page ?
48,anger,Apabila sales bni life JUJUR maka saya tak akan komplain.\nAtau beginikah SOP perekrutan nasabah BNI LIFE??
49,surprise,Sampe jam 12 malam ini????
50,joy,"Mari menanam kebaikan....\nTanam Pohon Untuk Menjaga Lingkungan. \nPenanaman pohon di Desa Daya Makmur, Muara Padang, Banyuasin, Senin (7/5/2018)"
51,sadness,"makin hari gua makin khatam sama sifatnya, tololnya gua adalah ""feeling use, but i still missing u and i can't see the end of this."" gitu lah pkknya sotoi gua orgnya emng ceritanya gua pengen rubah cara pandang dia, lebih peduli sama dia, perhatiin dia. but.."
52,fear,Ya.....Allah..smoga 2019 tdk ada lagi 2 manusia super hero di DPR
53,joy,"@fadlizon Selamat Pak Prabowo, setelah gagal cawapres, gagal capres, hari ini bapak jadi Presiden Twitter. Selamat…"
54,trust,"Di kelas cuma bisa nulis gabisa memahami ataupun ndengerin. Mata, jari, pikiran semuanya ke layar hp bolak balik bu…"
55,anger,Balas email dong
56,joy,nonton yuk acara interview di TVOne. Acara kabar petang hari ini Pkl. 17.30. temanya pandangan SBY terhadap berbaga…
57,sadness,@MayjenSudrajat @Gerindra Barusan aja juga hampir longsor...kalo aja tidak ada yg menenangkan pendukung partai itu…
58,fear,@Gerindra Mau dosa tapi takut ketawa:(
59,anticipation,Mulai tggal berapa ya
60,sadness,"Kelaperan di stasiun. Beli paket es teh + Roti'O dan duduk sambil nyruput es teh, padahal di sebelah ada org2 pada sholat. Aku merasa seperti syaitonirojim "
61,sadness,Aplikasi facebook nya kok jadi berat ya
62,anger,Orde baru? Sama aja kyk mimpi buruk!!!
63,joy,"Para Aktris Di 'Black Panther' Curi Perhatian, Ryan Coogler Berencana Buatkan Spin-Off"
64,fear,kalian pernah ngga sih ngerasain gmn rasanya deg degan nerima sms pemberitahuan kuota tinggal 7mb sementara kalian lg asik-asiknya tlponan dan harus keluar cari kuota lg supaya bisa lanjut ngobrol.
65,disgust,"@myXLCare ini layanan dangdut plus apaan sih, gapernah pake tapi mau dimatik  gapernah bisa ck"
66,anger,Emosi gw mentionan sama sheungwanie.
67,anger,"Org kaya/terkenal lagi makan di warung malah digratisin, org biasa/miskin malah disuruh bayar Gimana gak yg kaya makin kaya yg miskin makin miskin -_-"
68,anticipation,"Politisasi May Day, PPP dan NasDem: Jangan Peralat Kaum Pekerja"
69,trust,@Gerindra Saya melihat ada suara masyarakat seolah menempatkan Pak Prabowo pantas di posisi Cawapres dan Pemimpin d…
70,sadness,Mahallllll
71,disgust,Hai pemerintah jawa tengah knp hanya diam aja.\nBanyak daerah lain di pemerintahan menyempatkan waktu sedikit untuk mendukung pesertanya yg  akan mengharumkan nama daerahnya. Knp jawa tengah solo gk ada ya?\nSaya dari gorontalo dukung Nisa solo perwakilan kalian knp kalian diam.
72,trust,Optimis pasti bisa mengalahkan pesemis. Qoidah nya sama kaya al yaqinu layuzalu bisyaq\n#MilenialOptimis…
73,anticipation,"min mau tanya fb suami saya tidak bisa dibuka karna lupa pasword dan email yg dahulu gak bisa diakses katanya dulu itu gk ada verivikasi ke email tersebut apa bisa di pulihkan lagi ya , terimakasih"
74,joy,Sok debat na cing ciamik kang \n@ridwankamil #RinduJabarJuara1
75,joy,"Selamat hari lahir untuk @gp_ansornu , semoga semakin terdepan dalam mengawal negeri. #JokowiSepisanManing…"
76,anger,"[USERNAME] [USERNAME] Hadeuh ribut aja soal Islam Nusantara ( = INDONESIA ) !! kan menurut mereka dikenal ramah oleh dunia luar gitu lho, istilah zmn now masa kagak ngerti cui ... Wlupun kenyataannya suka berlku tak adil pd yg mnritas di neg. ini, sadar nggak"
77,sadness,"Min tlg dong di respon keluhan saya, aku udh berulang kali kirim laporan tentang permasalahan ini tp ko ga ada respon sm skali, udh brp bln ini aku tidak bs siaran langsung di sini lantaran di block, kan nyebelin aku nya jd ga bs nge vlog moment2 yg seru utk di share atau posting, tlg dong secepatnya di respon keluhan ku ini ☹"
78,anticipation,"Jenis kulit wajahmu mudah kering? Tenang saja, clay mask berikut berfungsi untuk menghidrasi kulitmu! Simak rekomendasinya, yuk."
79,trust,Update dengan koleksi terbaru dari 3Second untuk kamu yang ingin tampil lebih stylish. \n\nT-shirt : 184.500 :)
80,trust,semakin ada orang yang nyinyir. insyaAllah  semakin \ntermotivasi  unuk lebih dekat dgn ALLAH.  hanya pertolongan  ALLAH  yang bisa mengalahkan  segalanya.  contoh pilkada Dki
81,anger,"pelit gk dpt skin, skin ayam dapet terus"
82,sadness,"Percaya kata lelaki itu, terutama ketika aku ingin mati karena disiksa zaman. Tapi karena kematian tak kunjung tiba, aku melupakanNya. Tuhan menjauh, dan aku pun menjauhiNya. Aku tidak tahu, apa iya masih penting sejak kulupa."
83,joy,@Rommy_Daily @MRomahurmuziy @DPP_PPP Smoga sehat selalu semangsaat gus
84,anger,[USERNAME] Buka rekening baru di mandiri ribet harus ada no tlp rumah or kantor? Terus klo pekerja di pasar ga bisa nabung di mandiri donk??
85,sadness,tapi pas saya dateng ke counter texas kata mbak yg jaganya gak ada promo beli 2 french fries 10 ribu\n\n:P
86,anger,"Menurut saya prof, koruptor itu sama saja dng membunuh generasi anak cucu secara perlahan2 prof... Saya setuju jika para koruptor kelas kakap di hukum mati dan di miskin kan... [URL]"
87,joy,Telak! Pengacara Setya Novanto Bersiap Beberkan Borok KPK
88,trust,Pengen Seperti Ibu Susi
89,trust,Termasuk para petinggi elite politik kita hrs satu suara memajukan negeri kita dan mengesampingkan ego2 dan sadar korupsi itu dpt merugikan negara maupun rakyat secara tdk langsung.....
90,sadness,"Sudah dua hari ini makan tak enak, tidur pun tak nyenyak. Kegelisahan ini gue tuliskan. Alhamdulillah [USERNAME] mau menampung keresahan umat. Aksi Bela Via Vallen dan Pesan Seorang Jakmania Kepada Abang Simic [URL]"
91,fear,Facebook saya keblokir dan harus konfirmasi lewat no tlp flexi.. Laa nmrnya sudah gk ada gimana yaa solusinya...
92,anticipation,Ini promo sampek kapan??
93,fear,"[USERNAME] ""Itu menurutmu, tapi menurutku ini menyeramkan, kamu kalo terjadi apa apa disini karna ulah monster itu"" Gerutunya dengan kesal Ariel tidak mau melihat ke sekitarnya, ia hanya nunduk melihat jalan bebatuan yang ada di depannya, dia takut un"
94,sadness,"E btw ya, tumblr bener2 di blokir bwt indo yak :( Setelah berbulan-bulan, akhir nya app nya beneran kaga bisa di buka Ngiteeeerr mulu itu"
95,sadness,".Hi Admin Bagai mana membalikkN Pesan Arsip trs Trabaikan karn tdak Sngaja Trpencet,Saya bingung admin Ap bsa dibalik kn Soal nya ktika DiTulis Dipencariannya jga tdk bsa Infonya admin ya Tolong"
96,trust,"Bisakah ibu mengupayakan Perahu Lampu lengkap dan bersubsidi serta bisa dikredit dgn angsuran 1jt/bulan dan UM/DP 1jt?\nKayak kreditan motor..\nSoalnya negeri ini sudah mengarah ke negeri ojek...\nKalau bisa, saya yakin.. anak muda yg gak bisa lanjut sekolah tinggi.. akan milih kredit perahu lampu jadi nelayan daripada kredit motor buat ngojek.."
97,anger,"@detikcom Jelas sy pendukung @prabowo sangat kecewa, kami berharap lebih dari apa yg Jokowi bisa lakukan !"
98,fear,"[USERNAME] Wkwkwk laah aku yg masi menata hati dan menata diri stlh menjombs, & uda nyaman jombs, malah dikenalin ama masnya, ku merasa blm pantas & takut pelarian lg, entah pelarianku yg masi blm moveon dari mantan (cowo idamanku), entah pelaria"
99,anger,"Min pesananku kok blm dikirim sih ? Dikemas terus dari tgl 20, kpn sampainya ? Sbntr lg mau mudik min ...tlg dicek dong...sy br pertama blnja disini jgn buat sy kapok donk...."
100,sadness,@ganjarpranowo @EnthusSusmono innalilahi wainaillaihi roji'un...semoga Khusnul khotimah...
101,disgust,@psi_id Loe ga sadar bhw Manusia2 sejenis @grace_nat ketum PSI bnyk di untungkan n di besarkan di era orba.... #HaramPilih PSI
102,trust,"@wr200465 @Owaala @SBYudhoyono Tidak ada tandingannya, ya aku sih #2019TetapJokowi"
103,trust,Idrus Marham: Setya Novanto Mangkir Atas Saran Pengacara
104,anger,[USERNAME] grapari btc bandung ditulis buka 10:00 - 21:00 tapi barusan saya mau ganti simcard ke nano sim ditolak. Alasan sudah prepare tutup. Profesional ya ? [USERNAME]
105,anger,"@IndoPluralitas @prabowo @Gerindra Nah loh,,,,\nKatanya mau bela kaum buruh? tpi mengapa ada yg sampe 4thn ga di bayar gajinya???"
106,trust,"@adv_supyadi @AdvokatBS @Yusrilihza_Mhd @habiburokhman Pak, bisakah saya melakukan JR ke MK terkait aturan BPJS ini…"
107,fear,"Maka yang dilakukan papa adalah dudum diruang tamu, dan menunggumu pulang dengan hati yang sangat khawatir Dan setelah perasaab khawatir itu berlarut-larut. Ketika melihat putri kecilnya pulang larut malah hati papa akan mengeras dan papa memarahimu."
108,anger,@hafidgaban @PDAMKotaSMG @hendrarprihadi @ganjarpranowo @P3Mkotasmg Hahaha banyak yg dirugikan @PDAMKotaSMG…
109,anger,[USERNAME] Jasa pengiriman sangat tidak profesional!! Sampe kapanpun gak akan pake jasa pengiriman ini lagi.... menanggapi pengaduan lama! Awas aja paket sy yg nyasar krn petugas anda salah input sampe ilang berarti su Viralkan!
110,joy,"Yuk, buang dendam sebarkan maaf. \nCiptakan kawan bukan lawan.\nUbah benci jadi cinta. \nTunjukkan peduli jauhkan kepentingan sendiri.\nHidup Positif Bersama Levi’s®.\n\n#LiveInLevis"
111,joy,Lucuuuu keren maskot #AsianGamesKita @golkar @PartaiHANURA @PKSejahtera
112,joy,"@kangderu @msi_sohibuliman Siapapun yg menang di jatim baik pasangan Gus Ipul - Puti, maupun Khofifah -Emil Dardak.…"
113,anticipation,Maaf mau nanya kenapa saya gak bisa.kirim pesan fb ke orang lain ya malah ijin ditolak
114,anger,[USERNAME] [USERNAME] good job. Jadwal kereta arah bogor sangat berantakan. Harusnya ga seperti ini di jam segini. [URL]
115,trust,Facebook merupakan layanan gratis bagi semua orang. Setiap pengguna Facebook dapat mengendalikan informasi di akun Facebook mereka sendiri.
116,trust,@Yusrilihza_Mhd kadang kita suka membicarakan yg kita kita sendiri tdk tahu
117,sadness,Mati lampu dirumah uda ky kuat2an ga keluar kamar buat nyalain saklar wq. Sumuk. Tapi aseli demi liga la familia-yg-ga-betah-panas-kudu-turun-nyalain-saklar-gelap2an.
118,fear,"4. Takut Takut, nanti kalo diputusin gimana? Kalo diselingkuhin gimana? Kalo diporotin gimana? Kalo malah diajak ke KUA gimana? Gimanaaa? GIMANAA??! Ya pokok nya banyak lah ketakutan ketakutan lainnya."
119,anger,"\Biarin jokowi nafsu ingin dua periode, prabowo nafsu pengen nyapres dua periode. Kita sebagai wong cilik jangan ik…"
120,fear,"Sedang santap sahur sambil menyimak ceramah di tv. Tiba-tiba muncul bunyi: ""Hati-hati, Yon. *** itu syiah."" Seketika itt sahur jadi hilang selera"
121,anger,"Dah dua tahun doi jd spv jd dah biasa w tidur sendiri doi pulang subuh, paginy w kerja dia tidur, w plg dia udah brgkt. Pdhl serumah kdg 3 hari baru ketemu Gitu kok ya ada yg ngatain w posesif gabisa ditinggal, pgn w makan jd lauk samyang"
122,joy,"Ruhut Sitompul: Jokowi Janji Buka 10 Juta Lapangan Kerja Baru, Tahun Ketiga Hampir 12 Juta Ini Fakta"
123,joy,Pengacara Setya Novanto Siapkan Bukti Bongkar Borok KPK
124,joy,"Prabowo Tanggapi Serangan Bom Bunuh Diri di 3 Gereja Surabaya, Gini Katanya"
125,trust,@fadlizon @RismiatyR @Gerindra @prabowo Tak salah tuh Zon. Tun Mahatir menang krn 1) lawannya Najib beraroma Korups…
126,joy,@PERSIPURA_ @RahmayadiEdy @PSSI Yuk buruan gabung di : Bandar Judi \nOnline yang Aman dan Te…
127,trust,"sambil nunggu buka puasa, biasanya saya membaca cerita kisah-kisah nabi dan rasul dulu dari PC #WirelessByLogitech"
128,joy,@AnnaSuezann @HadiPra20089918 @jokowi @prabowo Udah move on dari ini?
129,trust,"@fadlizon Kalau cuma 2 poros, sy yakin jokowi bisa dikalahkan. Kalau muncul poros ke 3 suara #2019GantiPresiden bis…"
130,anger,"semua nya ngak boleh!!,kembali aja kezaman BATU."
131,fear,penularan secara vertikal ada 95%. waduh serem banget ya....makanya disarankan ibu hamil harus terus menjaga bayinya dan secara horizontal ada 5%
132,sadness,Akun lama aku yg di hack orang bisa di balikin lagi gk tolong dong tolong ya balikin
133,sadness,"Makin dewasa kamu, semakin malas kamu dengan hal-hal yang terlalu banyak drama. Pertemanan penuh drama, hubungan asmara penuh drama. Sebab kamu tahu, pekerjaanmu lebih penting dari pada semua drama-drama melelahkan itu. *Boycandra"
134,anticipation,Di medan berlaku gan
135,sadness,kaan ke mojokerto lagi
136,trust,Tetap berjuang sampai titik darah penghabisan
137,joy,Wow enak banget
138,anticipation,Mesti diusut sampai tuntas @MRF_Info @MustafaJajuli @herman_sutono @SrikandiLampung @MustafaJajuli…
139,anger,"Baru kali ini pemakaian fasilitas laboratorium dikampus sendiri bayar, kalo begitu uang yang dibayarkan tiap semster apa tidak termasuk?? Di doain yang buruk apa yang baik nih"
140,trust,Walau @KPU_Jateng tdk pernah mewaspadai hal2 spt ini tp kami tetap yakin bhw #GanjarYasin tetap menang.\n\nLaporan ke…
141,anger,[USERNAME] .... Kamu yg otak brengsek.... Dasar bodoh..... Di negara2 maju tol menjadi andalan utama..... Tidak ada negara maju yg tanpa tol..... Hanya Negara terkebelakang yg tdk punya tol....negara terkebelakang punya TOLol.... !!!
142,sadness,Dan nga masuk rekomendasi ulama versi pak [USERNAME] tapi kita biasa aja .. malah enak nonton langsung rausah rekomendasi rekomendasian .. jadwal padat setahun . Ngundang sekarang buat tahun depan [URL]
143,trust,"Udh 5 thn terakhir ini g pernah buka puasa di mal. Yg bikin males,antrenya itu panjang banget, penuh, n g bs sholat maghrib"
144,joy,Sy sudah dapat 3 buah Neon mug nya
145,trust,"TANPA ADMIN AWAL TIDAK ADA POTONGAN APA PUN\nPINJAMAN Bank BTPN seluruh indonesia\nMau cari pinjaman buat beli ruko atau investasi usaha...???\nMau cari pinjaman buat menambah modal usaha...???\nBiaya anak sekolah dll\nMau cari pinjaman dengan syarat yg mudah, proses cepat n bunga kompetitif...???\nBTPN WOW\nSolusinya...\nMemberikan pinjaman khusus pedagang/pengusaha karyawan dll mikro area sluruh indonesia dari 5 juta hingga 100 jt\nInfo lebih lanjut bisa add fb saya\nsyrat\n1. photo ktp\n2. photo kk\n3. photo buku rek bagian depan\n4. photo rek listrik\n5. proses cepat tanpa surve\n6 Buka Tabungan on line wow jenius btpn Rp. 75.000 langsung bisa di gunakan\n7 No Hp untuk registrasi tabungan BTPN\nNB :\n- Tidak dipungut biaya apapun \nBTPN wow WOW\nDimana dan kapanpun kami hadir untuk anda"
146,anger,[USERNAME] [USERNAME] .... Anda ini ngomong apa....?? Hanya orang2 brengsek yg ngomong kayak gini..... Lembaga terhormat jadi terhina karena disusupi orang yg kayak anda... [USERNAME]
147,sadness,Berita itu Hoax..
148,fear,"bangun tidur bgt cek handphone dapet pergantian schedule klo besok harus tugas terbang ke china. langsung meleeekk, huaaa kok baru ini gue takut mau tugas terbang"
149,trust,"@kangmeirza @Aryprasetyo85 @SBYudhoyono Dicoba sj pak diwujudkan, segera daftar jd calon...biar yakin dan tau mau rakyat yg sebenarnya"
150,sadness,@iwanfals @jokowi @prabowo @RamliRizal @SBYudhoyono @jokowi Sementara Indonesia sampai skrg blm punya PLT Sekam Pad…
151,sadness,@Yusrilihza_Mhd Turut berduka cita dan teriring do'a semoga almarhum segala khilaf dan dosanya diampuni dan seluruh…
152,anger,"Mas Budiman, saya punya koran langka\Suara Karya.\ Beritanya, anda dan Pak Pahan diancam hukuman mati. Koran itu saya simpan. Ingin saya kirim ke anda, tp contribusinya mas? $ukses utk anda. MEEEEERDEKA!!"
153,sadness,Kadang suka gak terima kalo liat hidup we gak kayak temen2 we yang mulus2 aja. Mungkin balasan dosa2 we selama ini
154,joy,@ganjarpranowo pak...kpn bapak jln2 ke pekanbaru...pengen banget jumpa ma bpk...
155,anticipation,Knpaa facebook lite sya gk bisa baca komentar yah?\n  Dan kalo ada komentar baru gk muncul dipemberitahuan
156,trust,Berikan rona cerah natural pada wajah dengan Radiance Blusher dan nutrisi agar bibir tetap lembap dengan Essential Lip Serum Stick.\n#Sulwhasootip: Gunakan warna paling terang pada Radiance Blusher sebagai highlighter untuk memperoleh tampilan tampak lebih muda.\n#SulwhasooID
157,fear,"Gan maaf saya mau nanya pesanan saya atas nama rimhot Sijabat kok belum nyampe ya? Udah 1 Minggu lebih... Saya Uda kirim email ga di bls, saya tlpn ga masuk 2...\nMohon pencerahannya...ditunggu"
158,anticipation,"Peringatan!\n\nMohon perhatian para WhatsAppers, kami tidak akan mengenakan biaya lainnya selain biaya layanan setiap tahun ($0.99 USD). Jika Anda menerima pesan tentang biaya tambahan lainnya dan meminta Anda untuk meneruskan pesan tersebut, pesan-pesan ini PALSU. Mohon jangan diteruskan.\n\nUntuk informasi lebih lanjut tentang biaya WhatsApp, silahkan baca artikel FAQ kami:"
159,anger,"Gue pelajari dr akun2 IG yg kerap memposting foto seronok, dari yg wajar mpe yg vulgar. Dan gue perhatiin seringkali si pemilik akun cuek dgn bnyk nya kata2 dan kalimat jorok, akhirnya muncul justifikasi bahwasanya nglakuin hal semacam itu (cat calling di dunia nyata) adlh WAJAR!"
160,anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..
161,anticipation,S & k nya apa aja ?
162,disgust,@AteRohana @Rakyat_Kerikil @rockygerung @prabowo maha benar Jokowi dengan segala pengikutnya..!
163,anger,"Met sore buat penjabat KFC,mohon di seleksi lagi karyawan KFC yg di depan moll kelapa gading.soal nya aku lihat kerja nya kurang memuaskan buat pelanggan,makasih."
164,trust,"Sekjen Demokrat: Kami Menyiapkan Anak Muda, Dialah AHY!"
165,joy,"Kinerja kementerian sosial juga naik. Bisa diartikan bahwa, kerja Ibu Khofifah Indar Parawansa selama 3 tahun itu s…"
166,fear,"Hidup adalah petualangan yang penuh misteri, itu sebabnya semua manusia memiliki rasa takut, was was dan kuatir saat menjalaninya, hanya bersama Yesus segala ketakutan menjadi hilang."
167,joy,"Tak terasa sebentar lagi Ramadan tiba. Semoga kita bisa menyambut keberkahan di bulan penuh kemuliaan ini dengan bekal sehat, bekal sabar dan bekal amal.\n\nSelamat Menunaikan Ibadah Puasa!"
168,sadness,daritadi tuh nangis ngeliat foto tae udh ilangin mulletnya.. apa dia tau ya banyak yg gasuka sm mullet dia? kalo kalian sayang bts seharusnya kalian juga bisa menerima apapun yg mereka lakukan dong kl udh kyk gini gbs di seselin lg udh terjadi huhuhu sedih bgt
169,fear,"Main artificial neural network emang ngeri2 sedap. 3 hari stressfull karena akurasi pengujian dibawah 50%. Ubah berbagai parameter masih tetep jelek. Sempat ngira bakal fail karna datanya rusak, ternyata hidden layer nya kurang banyak."
170,joy,Selamat Merayakan Hari raya Paskah Pak Jonan. Tuhan memberkati pengabdian. Pelayanan bapak buat sesama dan buat bangsa Indonesia. Semoga makin sehat. Makin berhkmat.
171,anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Salah satu pemimpin di Kalbar yg sering membuat fitnah-memprovokasi masyarakat dan sering menyampaikan pernyataan yg menyesatkan tapi belum pernah mendapatkan penindakan dari yg berwenang...
172,trust,"@valencia_amara Cawapresnya jokowi 2019,yg cepat, tegas, wibawa, dan bertanggung jawab,cerdas,jujur,anti korup(BTP…"
173,anger,"@Gerindra @prabowo santai ajalah min, jangan kaya oramg susah. duit kan tinggal ngeprint selesei."
174,fear,@DadoRose6 @MayjenSudrajat @Gerindra Nu kawas setan mah nu ngamuk 2 timbang ngomong 2019 ganti presiden oge geus kapanasan.
175,joy,@Ibnasanmail @psi_id @Bawaslu_RI_ @grace_nat @TsamaraDKI @AntoniRaja Tenang..lagi pake gincu..
176,sadness,"Jangan sengaja menghilang jika hanya sekedar ingin dicari,satu hal yang perlu kamu ketahui bahwa yang hilang tak selalu dicari tapi juga bisa diganti."
177,anger,"@RizqiRomdhoni @fadlizon @DPR_RI @Gerindra @jokowi Pernyataan anda berbahaya, mana ada partai yg mendukung tindakan terorisme."
178,joy,"Kunci Kemajuan Madura Versi Emil Elestianto Dardak, Mulai Jagung Hingga Ulama Kawal Investasi #JatimBaikBaikSaja"
